k,nc,umap_n_components,NMI,embedding
39,6,2,0.4223132309892867,tfidf
33,6,4,0.5849301790802309,tfidf
48,6,4,0.6435804484617053,tfidf
9,6,16,0.5390028086501366,tfidf
47,6,16,0.5658424857820715,tfidf
38,6,2,0.47715825213295654,tfidf
32,6,16,0.5079523811460473,tfidf
6,6,16,0.37433217452177314,tfidf
48,6,16,0.5683337033240116,tfidf
33,6,4,0.5849301790802309,tfidf
20,6,8,0.6106350203280927,tfidf
19,6,8,0.5644736531174044,tfidf
21,6,8,0.600282538063401,tfidf
21,6,8,0.600282538063401,tfidf
14,6,4,0.42057428497917465,tfidf
26,6,4,0.4859211944325069,tfidf
43,6,8,0.5312203210216985,tfidf
27,6,4,0.5990169396476718,tfidf
14,6,8,0.3786251637395042,tfidf
50,6,2,0.4211754184228656,tfidf
15,6,8,0.37878020133812845,tfidf
22,6,8,0.6038196783608427,tfidf
24,6,8,0.5067633773246704,tfidf
30,6,8,0.6165993347917401,tfidf
29,6,4,0.570480146165007,tfidf
39,6,8,0.5852679986694901,tfidf
44,6,8,0.5364516717138433,tfidf
18,6,4,0.4473600052878935,tfidf
36,6,2,0.47931106421278447,tfidf
43,6,2,0.4371571426853649,tfidf
10,6,8,0.4648317152213869,tfidf
23,6,8,0.6149366611040288,tfidf
31,6,8,0.6111138085571057,tfidf
28,6,8,0.6328923965657339,tfidf
29,6,4,0.570480146165007,tfidf
35,6,8,0.5983198313193758,tfidf
40,6,8,0.5941326461537757,tfidf
24,6,16,0.4404321369715913,tfidf
17,6,4,0.453853977533148,tfidf
25,6,2,0.39504009632005427,tfidf
35,6,16,0.566158350467702,tfidf
30,6,8,0.6165993347917401,tfidf
31,6,8,0.6111138085571057,tfidf
29,6,8,0.6195183975358207,tfidf
30,6,8,0.6165993347917401,tfidf
28,6,8,0.6328923965657339,tfidf
33,6,8,0.567020278351024,tfidf
28,6,16,0.49464220913238854,tfidf
26,6,4,0.4859211944325069,tfidf
37,6,8,0.5997236880908811,tfidf
41,6,8,0.5188091842847047,tfidf
34,6,8,0.613062370676635,tfidf
32,6,8,0.5933558209578267,tfidf
27,6,8,0.5920272467906439,tfidf
47,6,8,0.5726221646523965,tfidf
28,6,8,0.6328923965657339,tfidf
28,6,4,0.5693701579482688,tfidf
22,6,8,0.6038196783608427,tfidf
25,6,8,0.5187568223707144,tfidf
20,6,2,0.4110704463963976,tfidf
8,6,4,0.47091706054901084,tfidf
29,6,8,0.6195183975358207,tfidf
32,6,8,0.5933558209578267,tfidf
27,6,8,0.5920272467906439,tfidf
29,6,8,0.6195183975358207,tfidf
29,6,8,0.6195183975358207,tfidf
26,6,8,0.603986229543335,tfidf
33,6,16,0.6418590099300701,tfidf
50,6,16,0.5733981940998393,tfidf
23,6,16,0.47765527577766503,tfidf
45,6,16,0.5549182600076437,tfidf
31,6,16,0.5083139943950508,tfidf
33,6,8,0.567020278351024,tfidf
28,6,4,0.5693701579482688,tfidf
26,6,8,0.603986229543335,tfidf
29,6,16,0.49535767527691743,tfidf
24,6,2,0.4799635444722394,tfidf
35,6,8,0.5983198313193758,tfidf
32,6,8,0.5933558209578267,tfidf
37,6,4,0.6358393623566758,tfidf
38,6,4,0.6153280822128131,tfidf
30,6,4,0.5742599925552806,tfidf
36,6,4,0.567669855432288,tfidf
34,6,4,0.5420507902981363,tfidf
41,6,4,0.6316128354865129,tfidf
41,6,4,0.6316128354865129,tfidf
41,6,4,0.6316128354865129,tfidf
43,6,4,0.6251432608631686,tfidf
41,6,4,0.6316128354865129,tfidf
45,6,4,0.6204493885304729,tfidf
39,6,4,0.6204337696532907,tfidf
41,6,4,0.6316128354865129,tfidf
41,6,4,0.6316128354865129,tfidf
42,6,4,0.6191043086788403,tfidf
38,6,4,0.6153280822128131,tfidf
46,6,4,0.6349686759104975,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
48,6,4,0.6435804484617053,tfidf
50,6,4,0.6289816273558014,tfidf
46,6,4,0.6349686759104975,tfidf
49,6,4,0.6273688318201048,tfidf
45,6,4,0.6204493885304729,tfidf
46,6,4,0.6349686759104975,tfidf
44,6,4,0.6213884714384704,tfidf
48,6,4,0.6435804484617053,tfidf
50,6,4,0.6289816273558014,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
46,6,4,0.6349686759104975,tfidf
44,6,4,0.6213884714384704,tfidf
50,6,4,0.6289816273558014,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
49,6,2,0.41864887390218064,tfidf
48,6,4,0.6435804484617053,tfidf
45,6,4,0.6204493885304729,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
46,6,4,0.6349686759104975,tfidf
50,6,4,0.6289816273558014,tfidf
49,6,4,0.6273688318201048,tfidf
45,6,4,0.6204493885304729,tfidf
47,6,4,0.6347842060166777,tfidf
43,6,4,0.6251432608631686,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
46,6,4,0.6349686759104975,tfidf
50,6,4,0.6289816273558014,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
46,6,4,0.6349686759104975,tfidf
44,6,2,0.3824156318721268,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
50,6,4,0.6289816273558014,tfidf
49,6,4,0.6273688318201048,tfidf
45,6,4,0.6204493885304729,tfidf
48,6,4,0.6435804484617053,tfidf
46,6,4,0.6349686759104975,tfidf
47,6,4,0.6347842060166777,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
50,6,4,0.6289816273558014,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
46,6,4,0.6349686759104975,tfidf
50,6,4,0.6289816273558014,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
44,6,4,0.6213884714384704,tfidf
48,6,4,0.6435804484617053,tfidf
12,6,4,0.41406797125051986,tfidf
49,6,4,0.6273688318201048,tfidf
47,6,4,0.6347842060166777,tfidf
45,6,4,0.6204493885304729,tfidf
48,6,2,0.4130126419662174,tfidf
46,6,4,0.6349686759104975,tfidf
50,6,4,0.6289816273558014,tfidf
49,6,4,0.6273688318201048,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
46,6,4,0.6349686759104975,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
50,6,4,0.6289816273558014,tfidf
47,6,4,0.6347842060166777,tfidf
48,6,16,0.5683337033240116,tfidf
48,6,4,0.6435804484617053,tfidf
49,6,4,0.6273688318201048,tfidf
46,6,4,0.6349686759104975,tfidf
48,6,4,0.6435804484617053,tfidf
47,6,4,0.6347842060166777,tfidf
50,6,4,0.6289816273558014,tfidf
49,6,4,0.6273688318201048,tfidf
45,6,4,0.6204493885304729,tfidf
48,6,4,0.6435804484617053,tfidf
31,6,16,0.5256312886924907,fasttext
27,6,4,0.47729291331491797,fasttext
45,6,4,0.42973765795582347,fasttext
37,6,2,0.4713565507878808,fasttext
22,6,16,0.4885872900159181,fasttext
21,6,4,0.5137799424075707,fasttext
10,6,8,0.4013495884929848,fasttext
49,6,2,0.501866687677562,fasttext
21,6,16,0.5080781365590289,fasttext
39,6,8,0.4489720418540009,fasttext
10,6,16,0.40452289664426033,fasttext
32,6,4,0.5469063223627194,fasttext
34,6,16,0.4951744878189802,fasttext
30,6,4,0.5498700691120928,fasttext
26,6,4,0.5080066604534044,fasttext
41,6,4,0.4674301390466744,fasttext
15,6,4,0.5024272215286275,fasttext
31,6,4,0.5219283696306966,fasttext
16,6,4,0.4660064519088926,fasttext
33,6,8,0.48822940458752556,fasttext
44,6,2,0.5140961903830893,fasttext
30,6,16,0.5534140378639115,fasttext
26,6,16,0.5112829463768211,fasttext
36,6,4,0.4283630892415645,fasttext
31,6,4,0.5219283696306966,fasttext
24,6,16,0.48547829656329633,fasttext
17,6,2,0.4881380043497433,fasttext
28,6,8,0.429713931250426,fasttext
6,6,4,0.4091943937048233,fasttext
29,6,16,0.5358696350967465,fasttext
34,6,16,0.4951744878189802,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
29,6,16,0.5358696350967465,fasttext
37,6,16,0.5470687687334731,fasttext
24,6,16,0.48547829656329633,fasttext
40,6,16,0.4783591320913443,fasttext
19,6,16,0.49474663608459896,fasttext
25,6,16,0.48285468647732044,fasttext
35,6,2,0.46679977697659647,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
23,6,16,0.4815995280853088,fasttext
32,6,16,0.5462439648618014,fasttext
38,6,16,0.4631647637836212,fasttext
43,6,16,0.49141647047741094,fasttext
27,6,16,0.5304394916039592,fasttext
21,6,16,0.5080781365590289,fasttext
30,6,8,0.41737191419518715,fasttext
33,6,16,0.5531555716835505,fasttext
33,6,16,0.5531555716835505,fasttext
49,6,16,0.5223115445964978,fasttext
36,6,16,0.5137592145848263,fasttext
31,6,16,0.5256312886924907,fasttext
26,6,16,0.5112829463768211,fasttext
34,6,16,0.4951744878189802,fasttext
29,6,2,0.4879353008051643,fasttext
32,6,16,0.5462439648618014,fasttext
38,6,8,0.4497345289281904,fasttext
27,6,16,0.5304394916039592,fasttext
33,6,16,0.5531555716835505,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
25,6,16,0.48285468647732044,fasttext
35,6,2,0.46679977697659647,fasttext
28,6,16,0.5343230324957299,fasttext
23,6,8,0.497952990987,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
27,6,16,0.5304394916039592,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
25,6,16,0.48285468647732044,fasttext
35,6,16,0.49289617786904677,fasttext
31,6,16,0.5256312886924907,fasttext
28,6,16,0.5343230324957299,fasttext
26,6,16,0.5112829463768211,fasttext
29,6,2,0.4879353008051643,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
34,6,16,0.4951744878189802,fasttext
32,6,16,0.5462439648618014,fasttext
27,6,4,0.47729291331491797,fasttext
30,6,16,0.5534140378639115,fasttext
33,6,16,0.5531555716835505,fasttext
36,6,16,0.5137592145848263,fasttext
28,6,8,0.429713931250426,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
47,6,16,0.4673426562195024,fasttext
29,6,16,0.5358696350967465,fasttext
26,6,16,0.5112829463768211,fasttext
34,6,16,0.4951744878189802,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
24,6,4,0.5129072879441253,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
27,6,16,0.5304394916039592,fasttext
12,6,16,0.41646011939041094,fasttext
29,6,2,0.4879353008051643,fasttext
31,6,16,0.5256312886924907,fasttext
33,6,16,0.5531555716835505,fasttext
28,6,8,0.429713931250426,fasttext
35,6,16,0.49289617786904677,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
26,6,16,0.5112829463768211,fasttext
29,6,16,0.5358696350967465,fasttext
33,6,16,0.5531555716835505,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
27,6,16,0.5304394916039592,fasttext
25,6,4,0.5185719587979581,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
28,6,16,0.5343230324957299,fasttext
29,6,16,0.5358696350967465,fasttext
32,6,16,0.5462439648618014,fasttext
30,6,16,0.5534140378639115,fasttext
34,6,2,0.48355491622067776,fasttext
27,6,16,0.5304394916039592,fasttext
28,6,16,0.5343230324957299,fasttext
33,6,16,0.5531555716835505,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
32,6,16,0.5462439648618014,fasttext
28,6,8,0.429713931250426,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
26,6,16,0.5112829463768211,fasttext
32,6,16,0.5462439648618014,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
29,6,16,0.5358696350967465,fasttext
31,6,16,0.5256312886924907,fasttext
28,6,16,0.5343230324957299,fasttext
33,6,16,0.5531555716835505,fasttext
30,6,16,0.5534140378639115,fasttext
27,6,4,0.47729291331491797,fasttext
32,6,16,0.5462439648618014,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
32,6,16,0.5462439648618014,fasttext
31,6,2,0.4813420342274587,fasttext
29,6,16,0.5358696350967465,fasttext
34,6,16,0.4951744878189802,fasttext
30,6,16,0.5534140378639115,fasttext
29,6,8,0.4281642589908955,fasttext
6,6,16,0.5096015627540365,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
28,6,16,0.5343230324957299,fasttext
33,6,16,0.5531555716835505,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
27,6,16,0.5304394916039592,fasttext
32,6,16,0.5462439648618014,fasttext
30,6,16,0.5534140378639115,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
32,6,16,0.5462439648618014,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,4,0.5498700691120928,fasttext
33,6,16,0.5531555716835505,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
29,6,16,0.5358696350967465,fasttext
28,6,16,0.5343230324957299,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
32,6,16,0.5462439648618014,fasttext
30,6,2,0.48463521539326326,fasttext
29,6,16,0.5358696350967465,fasttext
27,6,16,0.5304394916039592,fasttext
31,6,16,0.5256312886924907,fasttext
30,6,16,0.5534140378639115,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
31,6,16,0.5256312886924907,fasttext
29,6,16,0.5358696350967465,fasttext
32,6,16,0.5462439648618014,fasttext
29,6,16,0.5358696350967465,fasttext
30,6,16,0.5534140378639115,fasttext
28,6,16,0.5343230324957299,fasttext
